Table	A	B	Only.A	Both	Only.B
all.uniqgene.uniqtag50	74	75	35	23358	35
all.uniqgene.uniqtag100	40	75	7733	15959	7434
all.uniqgene.uniqtag100	45	75	6694	16243	7150
all.uniqgene.uniqtag100	50	75	4827	16958	6435
all.uniqgene.uniqtag100	55	75	5178	18338	5055
all.uniqgene.uniqtag100	60	75	3219	18622	4771
all.uniqgene.uniqtag100	65	75	1462	20091	3302
all.uniqgene.uniqtag100	70	75	723	22564	829
all.uniqgene.uniqtag100	74	75	54	23339	54
all.uniqgene.uniqtag200	40	75	8418	15274	8119
all.uniqgene.uniqtag200	45	75	7388	15549	7844
all.uniqgene.uniqtag200	50	75	5312	16473	6920
all.uniqgene.uniqtag200	55	75	5516	18000	5393
all.uniqgene.uniqtag200	60	75	3428	18413	4980
all.uniqgene.uniqtag200	65	75	1541	20012	3381
all.uniqgene.uniqtag200	70	75	790	22497	896
all.uniqgene.uniqtag200	74	75	134	23259	134
